cycle,variant,path,entry,teardown,tcp_secs,outcome,detail
1,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
2,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
3,actsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
4,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
5,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
6,oldcmd,old,shutdown-cmd,cmd,13,CLEAN,"stall_during_run=0"
7,qdaterm,new,SIGTERM,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
8,frcmd,new,shutdown-cmd,cmd,13,CLEAN,"clean-exit-but-had-frame-stall=2"
9,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
10,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
11,actquit,new,SIGQUIT,sig,13,CLEAN,"stall_during_run=0"
12,actsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
13,frsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
14,galsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
