channel,cycle,variant,path,entry,teardown,tcp_secs,outcome,detail
plain,1,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,2,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,3,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,4,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,5,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,6,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0"
plain,7,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
plain,8,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
plain,9,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,10,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,11,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
plain,12,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,13,frsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,14,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,15,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,16,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,17,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,18,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0"
plain,19,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
plain,20,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0"
plain,21,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,22,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,23,frsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,24,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,25,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,26,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0"
plain,27,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,28,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
plain,29,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0"
plain,30,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0"
plain,31,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
plain,32,frsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,33,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,34,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,35,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,36,qda,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,37,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,38,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,39,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,40,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,41,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,42,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0"
plain,43,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
plain,44,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
plain,45,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,46,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,47,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
plain,48,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,49,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,50,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,51,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,52,qda,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,53,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0"
plain,54,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
plain,55,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0"
plain,56,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,57,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,58,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,59,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,60,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,61,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
plain,62,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,63,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,64,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
plain,65,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0"
plain,66,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
plain,67,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
plain,68,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,69,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,70,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
plain,71,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
plain,72,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
gdb,1,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,2,qda,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
gdb,3,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,4,frsig,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
gdb,5,galsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,6,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
gdb,7,qdaterm,new,SIGTERM,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,8,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
gdb,9,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,10,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,11,actquit,new,SIGQUIT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,12,actsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,13,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,14,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,15,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,16,qda,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,17,actsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,18,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,19,qdaterm,new,SIGTERM,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,20,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,21,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,22,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,23,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,24,galsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,25,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,26,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,27,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,28,actquit,new,SIGQUIT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,29,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,30,qdaterm,new,SIGTERM,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,31,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
gdb,32,frsig,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
gdb,33,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,34,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,35,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,36,qda,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,37,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,38,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,39,actsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,40,frsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,41,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,42,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,43,qdaterm,new,SIGTERM,sig,12,CLEAN,"stall_during_run=0"
gdb,44,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,45,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,46,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,47,actquit,new,SIGQUIT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,48,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,49,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,50,galsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,51,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,52,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,53,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
gdb,54,qdaterm,new,SIGTERM,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
gdb,55,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,56,actsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,57,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
gdb,58,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
gdb,59,frsig,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
