cycle,variant,path,entry,teardown,tcp_secs,outcome,detail
1,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
2,qda,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
3,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
4,frsig,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
5,galsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
6,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
7,qdaterm,new,SIGTERM,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
8,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
9,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
10,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
11,actquit,new,SIGQUIT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
12,actsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
13,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
14,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
15,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
16,qda,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
17,actsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
18,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=1"
19,qdaterm,new,SIGTERM,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
20,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=1"
21,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
22,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
23,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
24,galsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
25,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
26,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
27,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
28,actquit,new,SIGQUIT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
29,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=2"
30,qdaterm,new,SIGTERM,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
31,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
32,frsig,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
33,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
34,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
35,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
36,qda,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
37,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
38,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
39,actsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
40,frsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
41,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
42,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=2"
43,qdaterm,new,SIGTERM,sig,12,CLEAN,"stall_during_run=0"
44,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=1"
45,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
46,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
47,actquit,new,SIGQUIT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
48,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
49,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
50,galsig,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
51,oldsig,old,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
52,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
53,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
54,qdaterm,new,SIGTERM,sig,13,CLEAN,"clean-exit-but-had-frame-stall=1"
55,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=2"
56,actsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
57,oldsig,old,SIGINT,sig,12,CLEAN,"stall_during_run=0"
58,qda,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=2"
59,frsig,new,SIGINT,sig,13,CLEAN,"stall_during_run=0"
60,galsig,new,SIGINT,sig,12,CLEAN,"clean-exit-but-had-frame-stall=1"
61,actsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
62,oldsig,old,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
63,qda,new,SIGINT,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
64,actquit,new,SIGQUIT,sig,12,CLEAN,"stall_during_run=0"
65,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"stall_during_run=0"
66,qdaterm,new,SIGTERM,sig,13,CLEAN,"clean-exit-but-had-frame-stall=2"
67,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"clean-exit-but-had-frame-stall=2"
68,frsig,new,SIGINT,sig,12,CLEAN,"stall_during_run=0"
