cycle,variant,path,entry,teardown,tcp_secs,outcome,detail
1,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
2,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
3,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
4,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
5,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
6,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0"
7,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
8,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
9,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
10,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
11,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
12,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
13,frsig,new,SIGINT,sig,12,CLEAN,"rc=0"
14,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
15,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
16,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
17,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
18,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0"
19,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
20,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0"
21,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
22,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
23,frsig,new,SIGINT,sig,12,CLEAN,"rc=0"
24,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
25,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
26,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0"
27,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
28,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
29,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0"
30,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0"
31,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
32,frsig,new,SIGINT,sig,12,CLEAN,"rc=0"
33,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
34,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
35,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
36,qda,new,SIGINT,sig,12,CLEAN,"rc=0"
37,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
38,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
39,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
40,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
41,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
42,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0"
43,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
44,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
45,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
46,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
47,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
48,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
49,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
50,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
51,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
52,qda,new,SIGINT,sig,12,CLEAN,"rc=0"
53,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0"
54,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
55,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0"
56,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
57,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
58,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
59,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
60,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
61,actsig,new,SIGINT,sig,12,CLEAN,"rc=0"
62,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
63,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
64,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0"
65,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0"
66,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0"
67,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0"
68,frsig,new,SIGINT,sig,11,CLEAN,"rc=0"
69,galsig,new,SIGINT,sig,11,CLEAN,"rc=0"
70,actsig,new,SIGINT,sig,11,CLEAN,"rc=0"
71,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0"
72,qda,new,SIGINT,sig,11,CLEAN,"rc=0"
