cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",8,8,15.70
2,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,15.74
3,actsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,15.52
4,frsig,new,SIGINT,sig,14,CLEAN,"rc=0",8,8,15.88
5,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,16.52
6,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,17.43
7,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",8,16,17.45
8,frcmd,new,shutdown-cmd,cmd,13,CLEAN,"rc=0",8,8,17.20
9,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,18.40
10,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,18.85
11,actquit,new,SIGQUIT,sig,12,CLEAN,"rc=0",8,8,17.42
12,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,18.63
13,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,19.20
14,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.14
15,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",8,8,16.88
16,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,16.93
17,actsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,16.12
18,oldcmd,old,shutdown-cmd,cmd,13,CLEAN,"rc=0",8,8,16.11
19,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",8,16,16.83
20,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,16.53
21,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",8,8,18.36
22,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,20.76
23,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,18.88
24,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.77
25,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,18.30
26,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.35
27,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,19.86
28,actquit,new,SIGQUIT,sig,12,CLEAN,"rc=0",8,8,21.62
29,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,19.64
30,qdaterm,new,SIGTERM,sig,13,CLEAN,"rc=0",8,16,18.53
31,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,17.46
32,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,20.03
33,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,18.47
34,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,20.15
35,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.56
36,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,16.56
37,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,16.11
38,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,19.46
39,actsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,18.31
40,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,16.79
41,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.31
42,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,18.17
43,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",8,16,18.78
44,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,20.40
45,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",8,8,19.07
46,qda,new,SIGINT,sig,13,CLEAN,"rc=0",8,16,18.25
47,actquit,new,SIGQUIT,sig,13,CLEAN,"rc=0",8,8,18.57
48,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,18.34
49,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.46
50,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.89
51,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,18.91
52,qda,new,SIGINT,sig,13,CLEAN,"rc=0",8,16,17.63
53,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,18.60
54,qdaterm,new,SIGTERM,sig,14,CLEAN,"rc=0",8,16,18.05
