cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,oldsig,old,SIGINT,sig,14,CLEAN,"rc=0",8,8,10.35
2,qda,new,SIGINT,sig,13,CLEAN,"rc=0",8,16,14.61
3,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,15.77
4,frsig,new,SIGINT,sig,13,HUNG,"no-exit-in-45s",8,8,16.05
5,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,16.25
6,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,17.25
7,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",8,16,19.22
8,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,17.77
9,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,16.24
10,qda,new,SIGINT,sig,13,CLEAN,"rc=0",8,16,15.70
11,actquit,new,SIGQUIT,sig,12,CLEAN,"rc=0",8,8,17.19
12,actsig,new,SIGINT,sig,12,HUNG,"no-exit-in-45s",8,8,15.36
13,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,15.17
14,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,15.43
