ALIGNMENT	64	64
POOL	1048576	1048576
globalVertProj	164	192
meshFrag	784	832
meshTescGeom	16	64
rayMarchVert	128	128
rayMarchFrag	832	832
bodyRingVert	176	192
bodyRingFrag	784	832
atmExtUBO	124	128
ojmVert	48	64
ojmGeom	80	128
ojmLight	32	64
ojmShadowBlock	928	960
oortMat	64	64
oortFrag	16	64
globalFrag	68	128
moonFrag	32	64
Vec3f	12	64
Mat4f	64	64
floatUniform	4	64
RingUniform	180	192
artGeom	76	128
LightInfo	28	64
artVert	52	64
ShadowVert	128	128
ShadowFrag_mc4	176	192
ojmContainerUniformData	128	128
