# f104_solver  slice=a645da07  steps_per_call=1
# f104_solver  slice=a645da07  steps_per_call=1
--time e=0.1 n=3000000 ns_per_call=16.7184  passes=16.7023,16.7184,16.7445  sink=3265799.0646176119   # ell<0.2 fixed point
# f104_solver  slice=a645da07  steps_per_call=1
--time e=0.437371 n=3000000 ns_per_call=46.3581  passes=46.3580,46.3581,46.3608  sink=4299724.9506226769   # ell0.2-0.9 Newton (Eris's e)
# f104_solver  slice=a645da07  steps_per_call=1
--time e=0.95 n=3000000 ns_per_call=31.6730  passes=31.6691,31.6730,31.6747  sink=5697675.3727253042   # ell0.9-1 Laguerre-Conway
# f104_solver  slice=a645da07  steps_per_call=1
--time-ell e=0.256822 n=3000000 ns_per_call=20.8523  passes=20.8519,20.8523,20.8543  sink=262315.49579605681   # IterativeEll (Juno's e)
# f104_solver  slice=a645da07  steps_per_call=1
--time-hyp e=1.5 n=3000000 ns_per_call=34.8398  passes=34.7979,34.8398,34.9367  sink=-1524393.1934460378   # IterativeHyp (no corpus body)
# f104_solver  slice=a645da07  steps_per_call=1
name	e	branch	calls_to_1e-9	err_after_5_calls	err_after_20_calls
Adrastea	0.0065431202492241963	ell<0.2	4	1.68221e-12	2.22045e-16
Amalthea	0.0061757444029497009	ell<0.2	4	1.26144e-12	0
Ananke	0.21676818943642609	ell0.2-0.9	2	2.22045e-16	2.22045e-16
Arrokoth	0.037245733773618048	ell<0.2	6	8.9904e-09	0
Belinda	0.00079626988227903244	ell<0.2	3	2.22045e-16	2.22045e-16
Caliban	0.078110284583459935	ell<0.2	7	3.08804e-07	0
Carme	0.26029708680621833	ell0.2-0.9	2	0	0
Ceres	0.078819612883164053	ell<0.2	7	3.22089e-07	2.22045e-16
Charon	0.01317591383051692	ell<0.2	5	5.44131e-11	0
Despina	0.001272032273930335	ell<0.2	4	4.44089e-16	0
Elara	0.1961747274882456	ell<0.2	9	1.65913e-05	2.22045e-16
Epimetheus	0.0097999999999999997	ell<0.2	5	1.25342e-11	2.22045e-16
Eris	0.43737099231635668	ell0.2-0.9	3	0	0
Galatea	0.00093195879847053024	ell<0.2	3	2.22045e-16	2.22045e-16
Halimede	0.26190649270132588	ell0.2-0.9	2	0	0
Haumea	0.19089	cometEll	3	0	0
Helene	0.0071000000000000004	ell<0.2	4	2.52531e-12	0
Himalia	0.13411867327108301	ell<0.2	8	3.53351e-06	2.22045e-16
Hydra_	0.004288704	ell<0.2	4	2.05391e-13	2.22045e-16
Janus	0.0070000000000000001	ell<0.2	4	2.35345e-12	2.22045e-16
Juliet	0.00073516028960752785	ell<0.2	3	2.22045e-16	2.22045e-16
Juno	0.25682175716678202	cometEll	4	4.44089e-16	4.44089e-16
Laomedeia	0.38457866041935812	ell0.2-0.9	3	0	0
Larissa	0.0016286270558459521	ell<0.2	4	1.77636e-15	2.22045e-16
Leda	0.18499720680293399	ell<0.2	9	1.32601e-05	2.22045e-16
Lysithea	0.12812321023971321	ell<0.2	8	2.89897e-06	0
Makemake	0.14999999999999999	cometEll	3	2.22045e-16	2.22045e-16
Metis	0.007934699878209682	ell<0.2	5	4.39004e-12	2.22045e-16
Naiad	0.0017132696830181131	ell<0.2	4	2.22045e-15	0
Neried	0.74736787819205419	ell0.2-0.9	3	0	0
Neso	0.62999429395124085	ell0.2-0.9	3	0	0
Nix	0.016255202	ell<0.2	5	1.53819e-10	0
Pallas	0.23079832538994599	cometEll	4	0	0
Pandora	0.0041999999999999997	ell<0.2	4	1.84963e-13	2.22045e-16
Pasiphae	0.29321529425989351	ell0.2-0.9	2	0	0
Portia	0.0007158996511522726	ell<0.2	3	0	0
Prometheus	0.0022000000000000001	ell<0.2	4	7.32747e-15	0
Prospero	0.33118594626998632	ell0.2-0.9	3	4.44089e-16	4.44089e-16
Proteus	0.00026927478663713012	ell<0.2	3	0	0
Psamathe	0.2226171984343604	ell0.2-0.9	2	0	0
Puck	0.0003785245791051552	ell<0.2	3	2.22045e-16	2.22045e-16
Rosalind	0.00050214637258635562	ell<0.2	3	2.22045e-16	2.22045e-16
Sao	0.14285430089787921	ell<0.2	9	4.62729e-06	4.44089e-16
Sedna	0.85883149999999997	cometEll	4	2.22045e-16	2.22045e-16
Setebos	0.5613700935632252	ell0.2-0.9	3	0	0
Sinope	0.18234452838817161	ell<0.2	9	1.2536e-05	2.22045e-16
Sycorax	0.50995930951158985	ell0.2-0.9	3	0	0
Telesto	0.00020000000000000001	ell<0.2	3	0	0
Thalassa	0.0012334766736326721	ell<0.2	3	6.66134e-16	2.22045e-16
Thebe	0.019276385862664992	ell<0.2	5	3.56837e-10	2.22045e-16
Triton	2.1837687532123631e-05	ell<0.2	2	2.22045e-16	2.22045e-16
Vesta	0.089174698455804002	cometEll	3	2.22045e-16	2.22045e-16
