# f104_solver  slice=f348bd34  steps_per_call=1
seedoff	err1	err2	err3	err4	err5	err6	err7	err8	err9	err10	err11	err12
+0.25	0.0130003	3.87591e-05	3.46177e-10	2.22045e-16	0	0	0	0	0	0	0	0
-0.25	0.0155953	5.57227e-05	7.15507e-10	2.22045e-16	0	0	0	0	0	0	0	0
+0.5	0.0461044	0.000481392	5.33924e-08	4.44089e-16	0	0	0	0	0	0	0	0
-0.5	0.0654082	0.000961672	2.13038e-07	1.02141e-14	2.22045e-16	0	0	0	0	0	0	0
+1	0.137718	0.00414082	3.94519e-06	3.58669e-12	2.22045e-16	0	0	0	0	0	0	0
-1	0.244325	0.0124483	3.55448e-05	2.91142e-10	2.22045e-16	0	0	0	0	0	0	0
+2	0.196494	0.00822239	1.55322e-05	5.55931e-11	2.22045e-16	0	0	0	0	0	0	0
-2	0.110785	0.00270934	1.68986e-06	6.57918e-13	2.22045e-16	0	0	0	0	0	0	0
+4	2.69429	0.566064	0.0842892	0.00158516	5.78693e-07	7.70495e-14	2.22045e-16	0	0	0	0	0
-4	1.56491	0.331665	0.0220392	0.000111016	2.83996e-09	0	0	0	0	0	0	0
+8	2.13023	0.169889	0.00621694	8.88613e-06	1.81961e-11	2.22045e-16	0	0	0	0	0	0
-8	4.83301	4.53918	1.69291	0.294593	0.0176901	7.16409e-05	1.18268e-09	0	0	0	0	0
+16	2.08228	0.0428957	0.000417232	4.01095e-08	2.22045e-16	0	0	0	0	0	0	0
-16	3.16835	1.01853	0.251293	0.0131276	3.95195e-05	3.59894e-10	2.22045e-16	0	0	0	0	0
+32	5.05105	4.39332	1.6796	0.299608	0.0182553	7.6276e-05	1.34067e-09	0	0	0	0	0
-32	12.8552	0.793971	0.098795	0.0021651	1.07937e-06	2.68452e-13	2.22045e-16	0	0	0	0	0
+64	17.3061	14.1604	9.87227	2.50025	0.365555	0.0342452	0.000266799	1.64015e-08	2.22045e-16	0	0	0
-64	46.193	12.3348	2.34093	0.202079	0.0100569	2.32201e-05	1.24246e-10	2.22045e-16	0	0	0	0
