# F107 sampler MODEL: the one-frame transient a resample leaves
# seed left at E(lastJD + 89*visPeriod/180) -- the LAST of the 180
# samples (OrbitModule.cpp:105-110, ascending d); then ONE call at
# the body's own date with `steps` steps (2 at HEAD, 1 pre-F104).
# The sampler's increment is orbit_visualization_period/180
# (ModularSystem.cpp:1209 -> re.sidereal_period; ABSENT => 0 =>
# OrbitModule::update takes the `still orbit` branch, :134-136, and
# NEVER samples).  poserr = |pos - pos(exact)| AU, rotation-invariant;
# ang = poserr over the record's own dumped `dist`, arcsec.

body         branch     visPeriod_d  steps       res_rad     poserr_AU   ang_arcsec
Pasiphae     ell0.2-0.9      709.053      1       1.13097      0.162111    5490.3277
Carme        ell0.2-0.9      691.655      1      0.804849      0.117499    3959.4894
Neso         ell0.2-0.9     9358.591      1       1.99278      0.496342    3498.5315
Ananke       ell0.2-0.9      648.641      1      0.687022      0.094976    3055.1504
Neso         ell0.2-0.9     9358.591      2       1.50785      0.370601    2612.3405
Laomedeia    ell0.2-0.9     3185.069      1       1.97158      0.258418    1789.2210
Psamathe     ell0.2-0.9     9130.624      1      0.717943      0.217982    1529.2367
Sinope       ell<0.2        778.644      1      0.220832     0.0355542    1195.4171
Elara        ell<0.2        258.884      1      0.381283     0.0296534     976.1574
Leda         ell<0.2        242.257      1      0.346256     0.0257591     852.5484
Pasiphae     ell0.2-0.9      709.053      2      0.167429     0.0246316     834.4071
Laomedeia    ell0.2-0.9     3185.069      2      0.808955      0.115463     799.4550
Sycorax      ell0.2-0.9     1288.850      1       1.00004     0.0708871     726.8693
Lysithea     ell<0.2        259.047      1      0.253555     0.0198017     647.5747
Setebos      ell0.2-0.9     2234.351      1      0.525468     0.0593367     607.3151
Neried       ell0.2-0.9      360.482      2       2.63994     0.0707158     492.4991
Carme        ell0.2-0.9      691.655      2     0.0882858     0.0132989     448.2029
Himalia      ell<0.2        248.316      1     0.0998486     0.0075399     246.4476
Sao          ell<0.2       2908.416      1      0.216055     0.0318488     222.2658
Halimede     ell0.2-0.9     1875.169      1      0.286588     0.0316118     221.0130
Prospero     ell0.2-0.9     1973.430      1      0.198328     0.0213039     218.7872
Sinope       ell<0.2        778.644      2     0.0323217    0.00522234     175.5896
Sycorax      ell0.2-0.9     1288.850      2      0.223121     0.0157413     161.4108
Setebos      ell0.2-0.9     2234.351      2     0.0802857    0.00885828      90.6654
Leda         ell<0.2        242.257      2     0.0193616    0.00144433      47.8032
Ananke       ell0.2-0.9      648.641      2    0.00936049    0.00132127      42.5053
Neried       ell0.2-0.9      360.482      1       6.46921    0.00461627      32.1500
Himalia      ell<0.2        248.316      2     0.0123304   0.000931771      30.4557
Elara        ell<0.2        258.884      2    0.00992925   0.000775618      25.5327
Sao          ell<0.2       2908.416      2     0.0203477    0.00300161      20.9476
Caliban      ell<0.2        579.586      1     0.0322547    0.00154056      15.7902
Halimede     ell0.2-0.9     1875.169      2      0.010826    0.00119611       8.3626
Prospero     ell0.2-0.9     1973.430      2    0.00673699   0.000721934       7.4141
Thebe        ell<0.2          0.678      1     0.0385267   5.72755e-05       1.8858
Psamathe     ell0.2-0.9     9130.624      2   0.000717708   0.000223843       1.5704
Caliban      ell<0.2        579.586      2    0.00245551   0.000117289       1.2022
Amalthea     ell<0.2          0.502      1     0.0117317   1.42722e-05       0.4697
Adrastea     ell<0.2          0.302      1     0.0120336   1.04463e-05       0.3439
Epimetheus   ell<0.2          0.694      1     0.0145072   1.46825e-05       0.3252
Lysithea     ell<0.2        259.047      2   6.41527e-05   5.02284e-06       0.1643
Metis        ell<0.2          0.299      1    0.00323028   2.78463e-06       0.0917
Portia       ell<0.2          0.514      1     0.0013485   5.96272e-07       0.0061
Juliet       ell<0.2          0.494      1    0.00137828    5.9343e-07       0.0061
Rosalind     ell<0.2          0.559      1   0.000963381   4.50637e-07       0.0046
Puck         ell<0.2          0.763      1   0.000702469    4.0405e-07       0.0041
Larissa      ell<0.2          0.555      1    0.00100975   4.96723e-07       0.0035
Belinda      ell<0.2          0.624      1   0.000589842   2.96907e-07       0.0030
Proteus      ell<0.2          1.123      1   0.000399722   3.14427e-07       0.0022
Epimetheus   ell<0.2          0.694      2   9.37115e-05   9.48447e-08       0.0021
Adrastea     ell<0.2          0.302      2   3.21521e-05   2.79113e-08       0.0009
Amalthea     ell<0.2          0.502      2   2.14445e-05   2.60885e-08       0.0009
Metis        ell<0.2          0.299      2   2.49996e-05   2.15507e-08       0.0007
Thebe        ell<0.2          0.678      2   1.14279e-05   1.69903e-08       0.0006
Triton       ell<0.2          5.877      1   2.54252e-05   6.02949e-08       0.0004
Larissa      ell<0.2          0.555      2   1.57213e-06    7.7337e-10       0.0000
Belinda      ell<0.2          0.624      2   4.33167e-07   2.18042e-10       0.0000
