# f104_solver  slice=f348bd34  steps_per_call=1
pos_slice=0645185a
name	arm	call	iterate	residual	pos_x	pos_y	pos_z
Arrokoth	mut	0	0	-	-	-	-
Arrokoth	mut	1	3.4496304092966517	0.00040052246718857987	40.966495202471854	20.110879734071158	-1.4285520458029441
Arrokoth	mut	2	3.4500296089011924	1.368217248742809e-05	40.958551134091017	20.126566890900143	-1.4290573797580719
Arrokoth	mut	3	3.4500154411096133	4.8555726817056666e-07	40.958833180311728	20.126010200108539	-1.4290394490072733
Arrokoth	mut	4	3.450015943900723	1.7231648552495926e-08	40.958823171100555	20.126029956197279	-1.4290400853442693
Arrokoth	mut	5	3.4500159260574712	6.1152416463983172e-10	40.958823526311619	20.126029255085399	-1.4290400627616939
Ceres	mut	0	0	-	-	-	-
Ceres	mut	1	23.718608858261366	0.0011854256315793066	1.0406348341481519	2.5233534297928322	-0.11300786244785299
Ceres	mut	2	23.717361173885177	1.5471855601134621e-05	1.0438556963194421	2.5222856207231965	-0.11363470077550705
Ceres	mut	3	23.717345899132766	1.8865345197127681e-07	1.0438951194434001	2.5222725228057379	-0.11364237410624338
Ceres	mut	4	23.717345712883517	2.3001867077709903e-09	1.0438956001391433	2.5222723630954618	-0.11364246766916271
Ceres	mut	5	23.717345710611387	2.8055779921487556e-11	1.0438956060033473	2.5222723611470896	-0.11364246881057509
Charon	mut	0	0	-	-	-	-
Charon	mut	1	5328.3422623867655	3.3996248930634465e-05	8.5904328331496915e-05	6.5820595273144718e-05	-4.449217847601126e-05
Charon	mut	2	5328.3366478930275	7.3475732278893702e-05	8.591437679888424e-05	6.6179711676854022e-05	-4.3931988856235411e-05
Charon	mut	3	5328.336575365176	9.4969618658069521e-07	8.5914488654024963e-05	6.6184336894152266e-05	-4.3924743181048645e-05
Charon	mut	4	5328.3365744277535	1.2273631000425667e-08	8.5914490096755528e-05	6.6184396672776198e-05	-4.3924649529165819e-05
Charon	mut	5	5328.3365744156372	1.5734258340671659e-10	8.5914490115402477e-05	6.6184397445421032e-05	-4.3924648318704801e-05
Eris	mut	0	0	-	-	-	-
Eris	mut	1	3.5089568124998971	0.0018043047373454968	85.205558618959031	39.554694961441228	-17.398575788867923
Eris	mut	2	3.5107488604794659	1.7943327623726191e-07	85.167124810840463	39.624919322231506	-17.321688055419095
Eris	mut	3	3.5107490422214442	2.2204460492503131e-15	85.167120903583651	39.624926438796479	-17.321680256563639
Eris	mut	4	3.51074904222168	0	85.167120903578592	39.624926438805716	-17.321680256553517
Eris	mut	5	3.51074904222168	0	85.167120903578592	39.624926438805716	-17.321680256553517
Haumea	mut	0	-	-	-	-	-
Haumea	mut	1	-1.5326308365143799	1.0138470079738193	-6.6107606832477872	-42.456049931198045	-0
Haumea	mut	2	-2.6382830278160596	0.091792504932095759	-46.177705336704214	-20.492638244564183	-0
Haumea	mut	3	-2.546843572978212	0.00035052724315829331	-44.113027728824484	-23.8055001113662	-0
Haumea	mut	4	-2.5464929092899649	5.6792976759059647e-09	-44.104521422082911	-23.817839032528084	-0
Haumea	mut	5	-2.5464929030317944	2.4492935982947064e-16	-44.104521270234542	-23.817839252710289	-0
Hydra_	mut	0	0	-	-	-	-
Hydra_	mut	1	-898.53278176417848	6.8512190409819596e-07	0.00041965568415237603	9.8078863953386254e-05	8.9709304050139396e-07
Hydra_	mut	2	-898.53182437628504	4.1208339780496317e-06	0.00041956112651378528	9.8482302090823151e-05	8.958249112878055e-07
Hydra_	mut	3	-898.53182027273249	1.7663182916294318e-08	0.000419560720389884	9.8484031110936446e-05	8.9581947406163719e-07
Hydra_	mut	4	-898.53182025514513	7.5829120760317892e-11	0.00041956071864926843	9.8484038521314001e-05	8.9581945075827925e-07
Hydra_	mut	5	-898.53182025506976	4.5474735088646412e-13	0.00041956071864180874	9.8484038553072763e-05	8.9581945065840782e-07
Juno	mut	0	-	-	-	-	-
Juno	mut	1	-2.346803579604281	0.96695151082730235	-2.5562800481737953	-1.8419954031992789	-0
Juno	mut	2	2.9241689040113306	0.045220975324294699	-3.2933727782646081	0.5567279364397979	0
Juno	mut	3	2.9694178095263113	4.2164812336320523e-05	-3.3167605095362327	0.4421656884041899	0
Juno	mut	4	2.9693761569251329	3.0463631617294595e-11	-3.3167414507237472	0.44227159780911324	0
Juno	mut	5	2.9693761564141625	4.4408920985006262e-16	-3.3167414504899164	0.44227159910834468	0
Makemake	mut	0	-	-	-	-	-
Makemake	mut	1	-1.521791892470777	0.82162192494706277	-4.617403732055668	-45.138583945168925	-0
Makemake	mut	2	-2.3922309943897053	0.048804127810972736	-40.321880616772994	-30.784074960449715	-0
Makemake	mut	3	-2.3435401795119986	0.00011152936877476469	-38.766763299979644	-32.357975279877103	-0
Makemake	mut	4	-2.343428570735536	6.0553670898327331e-10	-38.763110339857533	-32.361496249347539	-0
Makemake	mut	5	-2.3434285699425281	6.4324905987065464e-16	-38.763110313900938	-32.361496274363461	-0
Nix	mut	0	0	-	-	-	-
