========================================================================================================
LEG prefix   binary 95087b68   exit 0   home md5 in==out True
  header timeSpeed per stage: {'R1e+08': 1157.4074074074074, 'R7e+08': 8101.851851851851}  (expected rate/86400)
  two-date control: 31 moved of 31 sampling records
  pinned_flag_off          0 PERTURBED of 31  (F107's pinned arm)
  pinned_flag_on_settled   0 PERTURBED of 31  (F107's pinned arm)

  STAGE R1e+08   PERTURBED (>= 5.6e-07 AU): off 7 / ON 18 / off2 8   of 31 scored
  body         every       off_AU        ON_AU      off2_AU     model_AU     ON/off    ON_arcsec
  Neso             n   8.9995e-09      0.16623   4.4818e-09      0.22572  1.847e+07      1171.80
  Setebos          n   5.0445e-09      0.02496   1.5223e-09     0.047557  4.948e+06       255.47
  Neried           y    1.519e-06     0.023401   1.1378e-05     0.034278  1.541e+04       162.97
  Laomedeia        n   6.2973e-09    0.0081257   1.5041e-09     0.015137   1.29e+06        56.26
  Prospero         n   2.2717e-09     0.005764   3.2565e-09    0.0068752  2.537e+06        59.19
  Psamathe         n   9.5063e-09    0.0018981   1.4137e-08    0.0015857  1.997e+05        13.32
  Carme            y   7.6348e-09    0.0015477   4.0798e-09   3.3439e-05  2.027e+05        52.16
  Pasiphae         y     8.84e-09    0.0013551    5.699e-09    0.0004671  1.533e+05        45.91
  Sycorax          y   9.3436e-09    0.0012802   3.3947e-09   1.1843e-05   1.37e+05        13.13
  Halimede         n    3.585e-09    0.0010233   4.6066e-09   0.00025878  2.854e+05         7.15
  Sinope           y   1.7578e-05   0.00097655   2.6864e-05   0.00073409      55.56        32.83
  Ananke           y   5.8198e-09   0.00058879     6.62e-09   0.00092942  1.012e+05        18.94
  Elara            y   5.2386e-05   0.00043932   4.1279e-05   0.00053301      8.386        14.46
  Sao              n   2.9709e-06   0.00037992   3.2478e-06   0.00036061      127.9         2.65
  Leda             y   4.2484e-05   0.00018707   3.8484e-05   0.00040735      4.403         6.19
  Himalia          y   1.1939e-05   0.00012545   1.4183e-05   0.00015981      10.51         4.10
  Lysithea         y   1.4559e-05   4.9302e-05   1.2067e-05   0.00010575      3.386         1.61
  Caliban          y   4.5543e-07   1.9931e-05   6.9079e-07   1.7897e-05      43.76         0.20
