class	file	pattern_hits	code_hits
ROUTED	b22_live_run.sh	1	0
MENTION	b24_select.py	1	1
ROUTED	f100_run.sh	1	0
MENTION	f108_writelog.py	1	1
HOME	f112_census.py	8	6
HOME	f112_decoymap.py	2	2
ROUTED	f114_run.sh	0	0
ROUTED	f116_assert.sh	0	0
ROUTED	f26_epoch.sh	0	0
ROUTED	f27_reply.py	1	0
PROBE	f29_run.sh	3	2
PROBE	f30_alloc.sh	4	3
PROBE	f38_config.sh	2	1
PROBE	f38_run.sh	2	1
PROBE	f38_scenes.sh	2	1
PROBE	f39_asmooth_probe.sh	2	1
PROBE	f39_d21.py	2	1
PROBE	f39_farm.sh	2	1
PROBE	f39_scenes.sh	2	1
PROBE	f40_scenes.sh	2	1
PROBE	f41_ownership.py	2	1
PROBE	f41_scenes.sh	2	1
ROUTED	f45_run.sh	1	0
PROBE	f55_probe.py	2	1
PROBE	f55_probe2.py	2	1
PROBE	f55_sampler.py	2	1
ROUTED	f56_canary.sh	1	0
PROBE	f67_tcp_live.py	3	2
PROBE	f68_provenance.py	3	2
PROBE	f69_feedback.py	3	2
MENTION	f76_live.py	1	1
PROBE	f81_offset.py	2	1
PROBE	f84_coldhome.py	2	1
PROBE	f86_startup.py	2	1
ROUTED	f90_rehearsal.py	1	0
ROUTED	f90_rehearsal_run.sh	1	0
ROUTED	f91_parity.py	1	0
ROUTED	f91_run.sh	1	0
ROUTED	f94_bodyselect.py	1	0
ROUTED	f94_run.sh	1	0
ROUTED	f95_soak.py	1	0
ROUTED	f96_offset.py	1	0
ROUTED	f96_run.sh	1	0
ROUTED	f97_run.sh	1	0
ROUTED	f99_gdb.sh	1	0
ROUTED	f99_run.sh	1	0
HOME	sc_gpu.py	0	0
HOME	sc_instances.py	4	2
HOME	sc_instances.sh	1	0
--- 49 file(s) matched by the census pattern or naming the home; PROBE 21 / ROUTED 20 / MENTION 3 / HOME 5
