class	partition	file	entries_naming_it	invoked_by	rule
ROUTED	LIVE	b22_live_run.sh	11.81,11.231	b20d_anchored_draw.py f109_edge.py	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
MENTION	LIVE	b24_select.py	11.106,11.113,11.114,11.118,11.157,11.158,11.209,11.210	f43_ramp.py f32_object_leak.py f90_rehearsal.py f50_selvars.py	census MENTION, not a process probe: nothing to route or annotate
ROUTED	LIVE	f100_run.sh	11.220,11.225,11.229	-	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
MENTION	LIVE	f108_writelog.py	11.230,11.237	-	census MENTION, not a process probe: nothing to route or annotate
HOME	HOME	f112_census.py	-	-	F112 delivery: the criterion and the instruments that measure it
HOME	HOME	f112_decoymap.py	-	-	F112 delivery: the criterion and the instruments that measure it
ROUTED	LIVE	f114_run.sh	11.235	f116_assert.sh	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f116_assert.sh	-	f114_run.sh f116_budget.py	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f26_epoch.sh	11.134,11.231	b22_live_run.sh f89_b4_variant.sh	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
ROUTED	LIVE	f27_reply.py	11.135,11.138,11.141,11.167,11.170,11.171,11.185,11.192,11.194,11.231	f32_object_leak.py f35_branch.py f23_b33_control.py f33_transitions.py f77_badscript.py f35_degenerate.py f40_env.py f30_timerate.py f31_search_drive.py f33_field.py f40_disc.py f50_selvars.py f40_inverse.py f33_smoke.py f76_live.py f36_reach.py f53_guards.py f40_anchored.py f28_send_buffer.py f34_convention.py b22_live_run.sh	(a) reach / (b) later-entry re-use / (c) the Sec.11.213+ era
PROBE	FROZEN	f29_run.sh	-	f29_upchain.py f29_reversible.py	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f30_alloc.sh	11.140	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f38_config.sh	11.150,11.159	f45_run.sh f39_farm.sh	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f38_run.sh	11.150	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f38_scenes.sh	11.150,11.235	f39_scenes.sh f41_scenes.sh	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f39_asmooth_probe.sh	-	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f39_d21.py	11.152,11.155,11.157	b24_screen.py	no standing reach, no later-entry re-use, delivered before Sec.11.213
PROBE	FROZEN	f39_farm.sh	11.230	-	no standing reach, no later-entry re-use, delivered before Sec.11.213
