# F121 -- THE CENSUS AT THE DISPATCH ANCHOR: every command and input that starts a TIME-EXTENDED camera-state change.
# Tab-separated. Written 2026-09-19 by the F121 executor. Line numbers RE-RESOLVED at code 2f9e6da7 (the fov fix's commit)
# unless a column says otherwise; anything cited from another tree says so in the row.
#
# HOW THE SET IS RESOLVED (the mandate asks for the resolving commands, not a list of recollections):
#   A  the command surface : the token table src/interfaceModule/app_command_init.cpp:39-120 + the switch
#      app_command_interface.cpp:383-443, walked handler by handler for any call reaching
#      Navigator::moveTo|updateMove|changeHeading|alignUpVectorTo|lookAt, Observer::moveTo|moveRel*|multAltitude,
#      Projector::zoomTo|changeFov, AnchorManager::moveTo*|transitionTo*|alignCameraToBody|selectAnchor,
#      Core::autoZoomIn|autoZoomOut|zoomToBothPaths|setFlagTracking|setHomePlanet|panView|gotoSelectedObject,
#      or any Camera::instance-> / camera-> / cameraAnchors-> call.
#   B  the input surface   : src/uiModule/ui.cpp (keys, mouse, joystick), ui_tuiconf.cpp (TUI), joypad_controller.cpp.
#   C  the script corpus   : the 64 files of ~/.spacecrafter/scripts/internal/*.sts, first field of every non-comment
#      line, CR-stripped, LC_ALL=C.  15 of the 64 use a census token; the other 49 use none.
# "Time-extended" = it does not land in the same frame (a duration, a ramp, an easing, a per-frame integration).
#
# MEASURED columns: max |delta| over the frames of the transition, from the per-frame seam recorder
# (Core::recordSeamStep, S11.245), read with harness/f121_seam.py. PRE = binary c2e4680c (artifacts/f121/census_pre,
# script_pre, point_attr). POST = binary 9e545fef (artifacts/f121/census_fov), i.e. after the fov fix 2f9e6da7.
# "not measured" is stated wherever it is true. THE FLOORS, measured at rest on both binaries: fov 5.009e-06 deg
# (one float32 ulp of the camera's half angle), view angle 1.44e-05 deg, observer position 4.2e-08 AU,
# heading 1.7e-05 deg.
#
id	token / input	handler or binding	old interpolator (class, easing, duration semantics, where stepped)	new-path counterpart	forwarding site (duration passed or DEFAULTED)	measured max |delta| PRE	POST	ledger row	state
T01	zoom auto in [manual]	app_command_interface.cpp commandZoom -> Core::autoZoomIn core.cpp:1410	Projector::zoomTo -> updateAutoZoom: fov LINEAR, c=1-(1-k)^3 (start>aim) or k^3; stepped in the executor mode before Core::updateMove	Camera::setHalfFov -> update: halfFov GEOMETRIC src*(dst/src)^q, q=2k^2 / 1-2(1-k)^2	core.cpp:1404 (projection) + core.cpp:1406 (camera), same aim_fov and move_duration	fov 38.68 deg	fov 6.42e-06 deg	-	FIXED 2f9e6da7 (single authority)
T02	zoom auto in, the VIEW half	core.cpp:1418 navigation->moveTo(sel, move_duration, false, 1)	Navigator slerp at c=1-(1-1.11k)^3 (zooming_mode 1), stepped in updateVisionVector	Camera::trackBody -> update()'s per-frame lookTo(target, 5, isMaxDuration) floored at T=0.2 s	core.cpp:1443 trackBody (NO duration; the servo's own 5 s / angle law)	view 49.61 deg	view 49.61 deg (unchanged)	B34 class	RED, not fixed
T03	zoom auto out / zoom auto initial	commandZoom -> Core::autoZoomOut core.cpp:1471	as T01 + navigation->moveTo(InitViewPos, move_duration, true, -1), c=k^4	Camera::setHalfFov + Camera::lookTo(oldLocalToLocal(InitViewPos), move_duration)	core.cpp:1510 / core.cpp:1553 (duration EXPLICIT)	fov 39.32 deg / view 65.37 deg	fov 6.79e-06 / view 65.37 deg	5.153 (T<0.2 s)	fov FIXED, view RED
T04	zoom fov <f> duration <d>	commandZoom -> CoreLink::zoomTo coreLink.hpp:311	Projector::zoomTo, as T01	Camera::setHalfFov	coreLink.hpp:312 / :313 (duration EXPLICIT)	fov 52.05 deg	fov 6.77e-06 deg	-	FIXED 2f9e6da7
T05	zoom delta_fov <d>	commandZoom -> CoreLink::setFov coreLink.hpp:327	Projector::setFov -- INSTANT, no ramp at all	Camera::setHalfFov on its C++ DEFAULT 0.5 s	coreLink.hpp:329 setHalfFov(f*M_PI/360) -- DURATION DEFAULTED	fov 59.83 deg (the whole commanded step)	fov 5.01e-06 deg	-	FIXED 2f9e6da7
T06	position action load	commandPosition -> CoreBackup::loadBackup backup_mgr.cpp	projection->setFov(mBackup.fov) INSTANT (backup_mgr.cpp:51); observerMoveTo(...,1 ms)	Camera::setHalfFov on the DEFAULT 0.5 s (backup_mgr.cpp:58)	backup_mgr.cpp:58 -- DURATION DEFAULTED	not measured (same site class as T05)	same fix reaches it (followFov overrides the plan)	-	FIXED by construction, NOT measured
T07	mouse wheel up/down	ui.cpp:450 / :453 -> CoreLink::zoomTo(..., 0.2)	Projector::zoomTo, 0.2 s	Camera::setHalfFov, 0.2 s	coreLink.hpp:312/:313 (EXPLICIT 0.2)	not measured (same seam as T04; keys/mouse are not TCP-reachable)	same fix	-	FIXED by construction, NOT measured
T08	CTRL+Up/Down, PageUp/Down, joypad zoom buttons	ui.cpp:1111/:1118/:1124/:1128 -> Core::zoomIn/Out -> Core::updateMove	Projector::changeFov(vzm.deltaFov) per frame, no easing	was Camera::setHalfFovNow mirrored ONLY on active-ramp frames (S11.133)	core.cpp:2224 followFov, now EVERY frame	not measured (key ramp not TCP-reachable)	subsumed	B34	NEGATIVE CONTROL, not measured
T09	flag track_object on	setFlag -> Core::setFlagTracking core.cpp:2775	navigator: flag_traking, then equ_vision = selected.getEarthEquPos() EVERY FRAME -- a SNAP, no interpolation	Camera::trackBody + update()'s lookTo(target, 5, true), T floored at 0.2 s -- a SERVO	core.cpp:2780 (old, getAutoMoveDuration) / core.cpp:2782 (camera, no duration)	view 65.10 deg transient (script leg) / 56.04 deg (census)	unchanged	B34 class	RED, veto point (the fix costs D15(c) smoothing)
T10	look_at azimuth <a> altitude <b> [duration]	commandLook -> CoreLink::lookAt coreLink.hpp:375	Navigator::lookAt -> moveTo(vision, time, true, 0), atan easing	Camera::lookTo(alt*pi/180, az*pi/180, time)	coreLink.hpp:376 (duration EXPLICIT, C++ default 1 s)	view 107.87 deg DURING and 107.66 deg AT REST	unchanged	NEW MINT owed	RED at rest -- a CONVENTION mismatch, not an easing
T11	look_at delta_azimuth/delta_altitude duration	commandLook -> Core::panView core.hpp	Navigator::updateMove(dAz,dAlt,fov,duration) -> moveTo when duration!=0	NONE	no forwarding site at all	view +31.0 deg, never recovered (107.66 -> 136.95 at rest)	unchanged	NEW MINT owed	RED, OLD-ONLY move
T12	moveto lat/lon/alt duration	commandMoveto -> CoreLink::observerMoveTo coreLink.hpp:963	Observer::moveTo/update: mult += coef*dt, lat+alt written ABSOLUTELY from mult, lon accumulated -- LINEAR	Camera::moveTo -> moveRel, deltaPosition integrated -- LINEAR	coreLink.hpp:964 (old, ms) / :965 (camera, duration/1000 s) -- EXPLICIT	altitude 55.33 m during AND at rest; lon 5.1e-05 deg, lat 1.04e-04 deg	unchanged	5.68	RED (small), not fixed
T13	camera action transition_to target point	commandCamera:4406 -> CoreLink::cameraTransitionToPoint("temp_point")	AnchorManager::transitionToPoint -- INSTANT	CameraAnchors::transitionToPoint -- INSTANT	ssystem_factory.hpp cameraTransitionToPoint	eyes AGREE 8.80e-08 AU; the camera's longitude READOUT jumps by exactly +90.000000 deg	unchanged	5.26 / B33 class	RED (readout), attributed: the unbind at a point anchor adds the reference's axis rotation
T14	camera action transition_to target body	commandCamera:4421 -> CoreLink::cameraTransitionToBody	AnchorManager::transitionToBody: two BISECTIONS for lon/lat, then setHeading(-axisAngle) + changeHeading(0, 5000) -- a 5 s LINEAR heading ramp	CameraAnchors::transitionToBody: positionRelativeTo + placeAt, exact, NO heading tail	ssystem_factory.hpp cameraTransitionToBody	eyes AGREE 2.54e-07 AU; lat 0.0051 deg (old's own bisection tol is 0.01); lon 174.77 deg readout; heading ramp OLD-ONLY for 5 s	unchanged	11.141 (accepted divergence)	PREDICTED RESIDUAL, not reverted (F121 boundary)
T15	camera action move_to target body ... duration [altitude]	commandCamera:4480/:4482 -> CoreLink::cameraMoveToBody (resolves "selected")	AnchorManager::moveToBody -> moveTo(anchor, time, alt): a date-based straight travel of the ANCHOR BODY	CameraAnchors::travelToBody -> installTravel(TravelOrbit), logistic profile over the same travelDays	ssystem_factory.hpp cameraMoveToBody	END-STATE 1.04e-03 AU = 156 000 km apart (script leg, attributed to THIS line by elimination: T13 and T14 measured at 1e-07 AU in isolation)	unchanged	NEW MINT owed	RED, the largest measured displacement
T16	camera action move_to target point x y z duration	commandCamera:4457 -> CoreLink::cameraMoveToPoint	AnchorManager::moveTo(Vec3d,time), date-based travel	CameraAnchors::travelToPoint -> installTravel	ssystem_factory.hpp cameraMoveToPoint	not measured	not measured	-	NOT MEASURED
T17	camera action rotate / flyto ... target <t> [duration]	commandCamera:4369 -> Core::lookAnchor core.cpp:2924	navigation->moveTo(helioToEarthPosEqu(observerCenterPoint), duration), default 2 s	Camera::armViewOffset(true) ONLY -- no view move	core.cpp:2926 (arm only)	not measured	not measured	NEW MINT owed	OLD-ONLY view move, NOT MEASURED
T18	camera action align_with body <b> [duration]	commandCamera:4388 -> CoreLink::cameraAlignWithBody	AnchorManager::alignCameraToBody -> Navigator::alignUpVectorTo -> changeHeading(angle, duration)	NONE	none	not measured	not measured	NEW MINT owed	OLD-ONLY heading ramp, NOT MEASURED
T19	camera action load filename <f>	commandCamera:4519 -> CoreLink::loadCameraPosition	AnchorManager::loadCameraPosition: observer setAltitude/Longitude/Latitude + Navigator::setLocalVision -- INSTANT, old only	NONE	none	not measured	not measured	NEW MINT owed	OLD-ONLY place+view set, NOT MEASURED
T20	heading azimuth <a> [duration] / heading delta_azimuth	commandHeading -> CoreLink::setHeading coreLink.hpp:1077	Navigator::changeHeading: LINEAR in move_to_mult, stepped in Navigator::update	Camera::setHeading: 1-D constant-minimal-acceleration plan	coreLink.hpp:1078 (old, ms) / :1081 (camera, ms*0.001) -- EXPLICIT	heading 180.0 deg (the wrapped max; see the note below the table)	unchanged	-	RED, two easing FAMILIES again
T21	set heading <h> / set heading default	evalCommandSet -> CoreLink::setHeading(h, 0) / setDefaultHeading	INSTANT; `default` writes the OLD navigator only (coreLink.hpp:1084-1086)	Camera::setHeading(h, 0) instant; NO counterpart for `default`	coreLink.hpp:1081 / none for `default`	not measured	not measured	NEW MINT owed	`default` is OLD-ONLY, NOT MEASURED
22	set home_planet <p> / selected / default	evalCommandSet -> Core::setHomePlanet core.cpp:2444	AnchorManager::switchToAnchor + syncCameraReference -- instant; landscape fader	syncCameraReference moves the camera's reference	ssystem_factory.hpp	not measured in this round (the `rest` leg was cut for capacity)	not measured	5.68 class	NOT MEASURED
