cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.67
2,qda,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.82
3,actsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,3.55
4,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,3.82
5,galsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,4.82
6,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,4.36
7,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0",0,0,4.52
8,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,5.47
9,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",0,0,5.11
10,qda,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,5.06
11,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0",0,0,3.79
12,actsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,3.40
13,frsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.78
14,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,3.13
15,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0",0,0,4.48
16,qda,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,4.37
17,actsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,4.13
18,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,3.71
19,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0",0,0,3.77
20,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,3.72
21,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0",0,0,3.03
22,qda,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,3.01
23,frsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.88
24,galsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.65
25,actsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.94
26,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0",0,0,3.10
27,qda,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,3.08
28,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0",0,0,4.48
29,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,4.12
30,qdaterm,new,SIGTERM,sig,12,CLEAN,"rc=0",0,0,3.71
31,frcmd,new,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,3.02
32,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,3.74
33,galsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,3.71
34,actsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.68
35,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.81
36,qda,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,2.83
37,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.46
38,qda,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,2.20
39,actsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,4.64
40,frsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,4.05
41,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,4.08
42,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,3.96
43,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0",0,0,4.08
44,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",0,0,3.84
45,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",0,0,3.23
46,qda,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.68
47,actquit,new,SIGQUIT,sig,11,CLEAN,"rc=0",0,0,3.24
48,actsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.96
49,frsig,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.88
50,galsig,new,SIGINT,sig,12,CLEAN,"rc=0",0,0,2.88
51,oldsig,old,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.35
52,qda,new,SIGINT,sig,11,CLEAN,"rc=0",0,0,2.66
53,oldcmd,old,shutdown-cmd,cmd,11,CLEAN,"rc=0",0,0,2.95
54,qdaterm,new,SIGTERM,sig,11,CLEAN,"rc=0",0,0,3.00
