cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,oldsig,old,SIGINT,sig,21,CLEAN,"rc=0",0,0,2.72
2,qda,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,2.67
3,actsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.56
4,frsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.42
5,galsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.33
6,oldcmd,old,shutdown-cmd,cmd,22,CLEAN,"rc=0",0,0,4.33
7,qdaterm,new,SIGTERM,sig,21,CLEAN,"rc=0",0,0,3.71
8,frcmd,new,shutdown-cmd,cmd,22,CLEAN,"rc=0",0,0,3.41
9,oldsig,old,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.73
10,qda,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,4.08
11,actquit,new,SIGQUIT,sig,21,CLEAN,"rc=0",0,0,3.68
12,actsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.85
13,frsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.29
14,galsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,2.60
15,oldsig,old,SIGINT,sig,21,CLEAN,"rc=0",0,0,2.79
16,qda,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,2.82
17,actsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.49
18,oldcmd,old,shutdown-cmd,cmd,21,CLEAN,"rc=0",0,0,3.42
19,qdaterm,new,SIGTERM,sig,22,CLEAN,"rc=0",0,0,3.30
20,frcmd,new,shutdown-cmd,cmd,21,CLEAN,"rc=0",0,0,2.98
21,oldsig,old,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.12
22,qda,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,2.73
23,frsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,2.97
24,galsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,4.18
25,actsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,4.47
26,oldsig,old,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.53
27,qda,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.73
28,actquit,new,SIGQUIT,sig,22,CLEAN,"rc=0",0,0,3.38
29,oldcmd,old,shutdown-cmd,cmd,21,CLEAN,"rc=0",0,0,3.09
30,qdaterm,new,SIGTERM,sig,22,CLEAN,"rc=0",0,0,3.27
31,frcmd,new,shutdown-cmd,cmd,21,CLEAN,"rc=0",0,0,3.63
32,frsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.12
33,galsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.08
34,actsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.51
35,oldsig,old,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.58
36,qda,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.43
37,oldsig,old,SIGINT,sig,21,CLEAN,"rc=0",0,0,4.03
38,qda,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.72
39,actsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.52
40,frsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.41
41,galsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.09
42,oldcmd,old,shutdown-cmd,cmd,21,CLEAN,"rc=0",0,0,3.06
43,qdaterm,new,SIGTERM,sig,22,CLEAN,"rc=0",0,0,3.18
44,frcmd,new,shutdown-cmd,cmd,21,CLEAN,"rc=0",0,0,3.80
45,oldsig,old,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.82
46,qda,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.65
47,actquit,new,SIGQUIT,sig,21,CLEAN,"rc=0",0,0,4.52
48,actsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.74
49,frsig,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.52
50,galsig,new,SIGINT,sig,22,CLEAN,"rc=0",0,0,3.18
51,oldsig,old,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.41
52,qda,new,SIGINT,sig,21,CLEAN,"rc=0",0,0,3.31
53,oldcmd,old,shutdown-cmd,cmd,22,CLEAN,"rc=0",0,0,3.17
54,qdaterm,new,SIGTERM,sig,21,CLEAN,"rc=0",0,0,2.97
