cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.26
2,qda,new,SIGINT,sig,13,FIRE,"rc=139 SIGSEGV",8,8,18.37
3,actsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.51
4,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.64
5,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.48
6,oldcmd,old,shutdown-cmd,cmd,13,CLEAN,"rc=0",8,8,17.49
7,qdaterm,new,SIGTERM,sig,13,FIRE,"rc=139 SIGSEGV",8,16,17.16
8,frcmd,new,shutdown-cmd,cmd,13,CLEAN,"rc=0",8,8,17.08
9,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.75
10,qda,new,SIGINT,sig,13,FIRE,"rc=139 SIGSEGV",8,16,18.10
11,actquit,new,SIGQUIT,sig,12,CLEAN,"rc=0",8,8,18.25
12,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.43
13,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,18.56
14,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.90
15,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.16
16,qda,new,SIGINT,sig,13,FIRE,"rc=139 SIGSEGV",8,8,17.02
17,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,16.84
18,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,16.92
19,qdaterm,new,SIGTERM,sig,12,FIRE,"rc=139 SIGSEGV",8,16,17.51
20,frcmd,new,shutdown-cmd,cmd,13,CLEAN,"rc=0",8,8,17.03
21,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.31
22,qda,new,SIGINT,sig,12,FIRE,"rc=139 SIGSEGV",8,8,17.10
