cycle,variant,path,entry,teardown,tcp_secs,outcome,detail,rovers,rovload,load1
1,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,16.76
2,qda,new,SIGINT,sig,13,CLEAN,"rc=0",8,16,17.00
3,actsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,18.29
4,frsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,18.33
5,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.47
6,oldcmd,old,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,17.37
7,qdaterm,new,SIGTERM,sig,13,CLEAN,"rc=0",8,16,17.40
8,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,17.19
9,oldsig,old,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.69
10,qda,new,SIGINT,sig,14,CLEAN,"rc=0",8,16,18.29
11,actquit,new,SIGQUIT,sig,14,CLEAN,"rc=0",8,8,17.77
12,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.97
13,frsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,18.42
14,galsig,new,SIGINT,sig,13,CLEAN,"rc=0",8,8,18.69
15,oldsig,old,SIGINT,sig,14,CLEAN,"rc=0",8,8,18.46
16,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,17.91
17,actsig,new,SIGINT,sig,12,CLEAN,"rc=0",8,8,17.58
18,oldcmd,old,shutdown-cmd,cmd,13,CLEAN,"rc=0",8,8,17.36
19,qdaterm,new,SIGTERM,sig,14,CLEAN,"rc=0",8,16,18.52
20,frcmd,new,shutdown-cmd,cmd,12,CLEAN,"rc=0",8,8,17.94
21,oldsig,old,SIGINT,sig,13,CLEAN,"rc=0",8,8,17.08
22,qda,new,SIGINT,sig,12,CLEAN,"rc=0",8,16,17.83
