arm	family	file	line	channel	commented	level	sink	text
A	command	src/interfaceModule/app_command_interface.cpp	131	std::cout	True	(console)	(console)	str << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	170	clog	False	LOG_TYPE::L_DEBUG	LOG_FILE::INTERNAL	"Command: " + command + "Argument hash:"
A	command	src/interfaceModule/app_command_interface.cpp	172	clog	False	LOG_TYPE::L_INFO	LOG_FILE::INTERNAL	"\t" + iter->first + " : " + iter->second, LOG_TYPE::L_DEBUG
A	command	src/interfaceModule/app_command_interface.cpp	210	clog	False	LOG_TYPE::L_INFO	LOG_FILE::SCRIPT	"Execute_command " + commandline
A	command	src/interfaceModule/app_command_interface.cpp	226	clog	False	LOG_TYPE::L_INFO	LOG_FILE::SCRIPT	"this command has not been executed " + commandline
A	command	src/interfaceModule/app_command_interface.cpp	233	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Unrecognized or malformed command name")
A	command	src/interfaceModule/app_command_interface.cpp	234	clog	False	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	debug_message
A	command	src/interfaceModule/app_command_interface.cpp	311	debug_message	True	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Unrecognized or malformed flag name")
A	command	src/interfaceModule/app_command_interface.cpp	312	clog	False	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	debug_message
A	command	src/interfaceModule/app_command_interface.cpp	327	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	("Unrecognized or malformed flag argument")
A	command	src/interfaceModule/app_command_interface.cpp	676	clog	False	LOG_TYPE::L_WARNING	LOG_FILE::INTERNAL	"Command 'flag': this flag cannot be toggled because its " "current value cannot be read; pass 'on' or 'off' instead."
A	command	src/interfaceModule/app_command_interface.cpp	1148	clog	False	LOG_TYPE::L_DEBUG	LOG_FILE::INTERNAL	"no effect with unknown case "
A	command	src/interfaceModule/app_command_interface.cpp	1169	clog	True	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	"have execute: " + commandline
A	command	src/interfaceModule/app_command_interface.cpp	1173	clog	False	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	"Could not execute: " + commandline
A	command	src/interfaceModule/app_command_interface.cpp	1174	clog	False	LOG_TYPE::L_DEBUG	LOG_FILE::SCRIPT	debug_message
A	command	src/interfaceModule/app_command_interface.cpp	1186	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	("Unrecognized or malformed flag argument")
A	command	src/interfaceModule/app_command_interface.cpp	1195	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Unrecognized or malformed command_flag behaviour")
A	command	src/interfaceModule/app_command_interface.cpp	1205	clog	False	LOG_TYPE::L_WARNING	LOG_FILE::INTERNAL	"No tcp : i can't send "
A	command	src/interfaceModule/app_command_interface.cpp	1230	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'get': unknown status value")
A	command	src/interfaceModule/app_command_interface.cpp	1233	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'get': unknown argument")
A	command	src/interfaceModule/app_command_interface.cpp	1318	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'session': the session could not be saved")
A	command	src/interfaceModule/app_command_interface.cpp	1321	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'session': the session could not be loaded")
A	command	src/interfaceModule/app_command_interface.cpp	1323	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'session': unknown or missing action, expected 'save' or 'load'")
A	command	src/interfaceModule/app_command_interface.cpp	1344	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'search' : missing name argument")
A	command	src/interfaceModule/app_command_interface.cpp	1356	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'planet_scale' : missing name or scale argument")
A	command	src/interfaceModule/app_command_interface.cpp	1403	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command_'wait' : unrecognized or malformed argument name.")
A	command	src/interfaceModule/app_command_interface.cpp	1424	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"command_personal: Unknown 'action' value"
A	command	src/interfaceModule/app_command_interface.cpp	1431	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"command_'personal' : unrecognized or malformed argument"
A	command	src/interfaceModule/app_command_interface.cpp	1455	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"Error loading nebula."
A	command	src/interfaceModule/app_command_interface.cpp	1471	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'dso': unknown action value")
A	command	src/interfaceModule/app_command_interface.cpp	1505	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'dso': case hidden unknown argument")
A	command	src/interfaceModule/app_command_interface.cpp	1509	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'dso' : unknown argument")
A	command	src/interfaceModule/app_command_interface.cpp	1527	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'dso3d' : unknown argument")
A	command	src/interfaceModule/app_command_interface.cpp	1545	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"Error loading dso."
A	command	src/interfaceModule/app_command_interface.cpp	1549	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'dso2D': unknown action value")
A	command	src/interfaceModule/app_command_interface.cpp	1552	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'dso2D' : unknown argument")
A	command	src/interfaceModule/app_command_interface.cpp	1573	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"command_personeq: Unknown 'action' value"
A	command	src/interfaceModule/app_command_interface.cpp	1580	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"command_'personeq' : unrecognized or malformed argument"
A	command	src/interfaceModule/app_command_interface.cpp	1607	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'body_trace': unknown pen value")
A	command	src/interfaceModule/app_command_interface.cpp	1625	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'body_trace' : unknown argument")
A	command	src/interfaceModule/app_command_interface.cpp	1876	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'color': unknown expected argument 'property'")
A	command	src/interfaceModule/app_command_interface.cpp	1882	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("Command 'color': unknown property")
A	command	src/interfaceModule/app_command_interface.cpp	1958	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'illuminate': filename not found")
A	command	src/interfaceModule/app_command_interface.cpp	1965	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	_("command 'illuminate': argument unknown")
A	command	src/interfaceModule/app_command_interface.cpp	1972	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"command_'print': malformed command"
A	command	src/interfaceModule/app_command_interface.cpp	1978	std::cout	True	(console)	(console)	oss.str() << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	1979	clog	False	LOG_TYPE::L_WARNING	LOG_FILE::SCRIPT	oss.str()
A	command	src/interfaceModule/app_command_interface.cpp	1980	clog	False	LOG_TYPE::L_WARNING	LOG_FILE::INTERNAL	oss.str()
A	command	src/interfaceModule/app_command_interface.cpp	2114	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"command_'set': malformed command"
A	command	src/interfaceModule/app_command_interface.cpp	2120	std::cout	True	(console)	(console)	i.first << "->" << i.second << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	2129	std::cout	True	(console)	(console)	"size "<< m_appcommand.size() << " m_appcommand" << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	2134	std::cout	True	(console)	(console)	setName << " found" << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	2138	std::cout	True	(console)	(console)	setName << " not found" << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	2148	std::cout	True	(console)	(console)	setName << " : " << setValue << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	2151	std::cout	True	(console)	(console)	"parserSet-> " << static_cast<std::underlying_type<SCD_NAMES>::type>(parserSet) << std::endl
A	command	src/interfaceModule/app_command_interface.cpp	2222	debug_message	False	(via executeCommandStatus L_DEBUG)	LOG_FILE::SCRIPT	"command_'set': unknown argument"
