54 distinct non-ASCII characters, 3425 occurrences
U+2014	1236	EM DASH
U+00A7	1134	SECTION SIGN
U+00E9	362	LATIN SMALL LETTER E WITH ACUTE
U+00B7	96	MIDDLE DOT
U+00E8	79	LATIN SMALL LETTER E WITH GRAVE
U+00B0	68	DEGREE SIGN
U+2212	56	MINUS SIGN
U+2192	54	RIGHTWARDS ARROW
U+00E0	48	LATIN SMALL LETTER A WITH GRAVE
U+2026	39	HORIZONTAL ELLIPSIS
U+03C0	32	GREEK SMALL LETTER PI
U+00B2	31	SUPERSCRIPT TWO
U+21D2	26	RIGHTWARDS DOUBLE ARROW
U+00F4	20	LATIN SMALL LETTER O WITH CIRCUMFLEX
U+03B1	18	GREEK SMALL LETTER ALPHA
U+FFFD	13	REPLACEMENT CHARACTER
U+00D7	13	MULTIPLICATION SIGN
U+00EA	9	LATIN SMALL LETTER E WITH CIRCUMFLEX
U+00E7	7	LATIN SMALL LETTER C WITH CEDILLA
U+1D40	7	MODIFIER LETTER CAPITAL T
U+00B1	6	PLUS-MINUS SIGN
U+2248	5	ALMOST EQUAL TO
U+2194	5	LEFT RIGHT ARROW
U+0302	5	COMBINING CIRCUMFLEX ACCENT
U+2013	5	EN DASH
U+2265	4	GREATER-THAN OR EQUAL TO
U+00C2	4	LATIN CAPITAL LETTER A WITH CIRCUMFLEX
U+03C6	3	GREEK SMALL LETTER PHI
U+2264	3	LESS-THAN OR EQUAL TO
U+2502	3	BOX DRAWINGS LIGHT VERTICAL
U+2283	2	SUPERSET OF
U+1E86	2	LATIN CAPITAL LETTER W WITH DOT ABOVE
U+2260	2	NOT EQUAL TO
U+03BB	2	GREEK SMALL LETTER LAMDA
U+03B8	2	GREEK SMALL LETTER THETA
U+207B	2	SUPERSCRIPT MINUS
U+00B9	2	SUPERSCRIPT ONE
U+00C3	2	LATIN CAPITAL LETTER A WITH TILDE
U+201A	2	SINGLE LOW-9 QUOTATION MARK
U+00C9	2	LATIN CAPITAL LETTER E WITH ACUTE
U+2213	1	MINUS-OR-PLUS SIGN
U+221A	1	SQUARE ROOT
U+03B5	1	GREEK SMALL LETTER EPSILON
U+2229	1	INTERSECTION
U+0394	1	GREEK CAPITAL LETTER DELTA
U+0108	1	LATIN CAPITAL LETTER C WITH CIRCUMFLEX
U+221D	1	PROPORTIONAL TO
U+2261	1	IDENTICAL TO
U+2227	1	LOGICAL AND
U+00A0	1	NO-BREAK SPACE
U+0192	1	LATIN SMALL LETTER F WITH HOOK
U+00C8	1	LATIN CAPITAL LETTER E WITH GRAVE
U+2019	1	RIGHT SINGLE QUOTATION MARK
U+00BB	1	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
