U+00C3 U+0192 U+00C2 U+201A U+00C3 U+201A U+00C2 U+00B0 -> 'deg'
U+0043 U+0068 U+FFFD U+0072 U+0065 U+0061 U+0075 -> 'Chereau'
U+004A U+FFFD U+0072 U+FFFD U+006D U+0065 -> 'Jerome'
U+0078 U+0302                            -> 'x_hat'
U+00C2 U+00B0                            -> 'deg'
U+207B U+00B9                            -> '^-1'
U+00A0                                   -> ' '
U+00A7                                   -> 'S'
U+00A8                                   -> '"'
U+00A9                                   -> '(C)'
U+00AA                                   -> 'a'
U+00B0                                   -> 'deg'
U+00B1                                   -> '+-'
U+00B2                                   -> '^2'
U+00B4                                   -> "'"
U+00B7                                   -> '*'
U+00B9                                   -> '^1'
U+00BA                                   -> 'o'
U+00BB                                   -> '>>'
U+00C0                                   -> 'A'
U+00C2                                   -> 'A'
U+00C3                                   -> 'A'
U+00C8                                   -> 'E'
U+00C9                                   -> 'E'
U+00CA                                   -> 'E'
U+00D7                                   -> 'x'
U+00E0                                   -> 'a'
U+00E2                                   -> 'a'
U+00E7                                   -> 'c'
U+00E8                                   -> 'e'
U+00E9                                   -> 'e'
U+00EA                                   -> 'e'
U+00EE                                   -> 'i'
U+00EF                                   -> 'i'
U+00F4                                   -> 'o'
U+00F6                                   -> 'o'
U+00F9                                   -> 'u'
U+00FB                                   -> 'u'
U+0108                                   -> 'C_hat'
U+0153                                   -> 'oe'
U+0192                                   -> 'f'
U+0302                                   -> '^'
U+0394                                   -> 'Delta'
U+03B1                                   -> 'alpha'
U+03B2                                   -> 'beta'
U+03B3                                   -> 'gamma'
U+03B4                                   -> 'delta'
U+03B5                                   -> 'epsilon'
U+03B8                                   -> 'theta'
U+03BB                                   -> 'lambda'
U+03BC                                   -> 'mu'
U+03C0                                   -> 'pi'
U+03C1                                   -> 'rho'
U+03C3                                   -> 'sigma'
U+03C6                                   -> 'phi'
U+03C9                                   -> 'omega'
U+1D40                                   -> '^T'
U+1E86                                   -> 'W_dot'
U+2013                                   -> '-'
U+2014                                   -> '--'
U+2019                                   -> "'"
U+201A                                   -> ','
U+2026                                   -> '...'
U+207B                                   -> '^-'
U+2190                                   -> '<-'
U+2192                                   -> '->'
U+2194                                   -> '<->'
U+21D2                                   -> '=>'
U+2212                                   -> '-'
U+2213                                   -> '-/+'
U+221A                                   -> 'sqrt'
U+221D                                   -> '~'
U+2227                                   -> '&&'
U+2229                                   -> '^'
U+2248                                   -> '~='
U+2260                                   -> '!='
U+2261                                   -> '=='
U+2264                                   -> '<='
U+2265                                   -> '>='
U+2283                                   -> '>'
U+2502                                   -> '|'
U+FFFD                                   -> '?'
82 rows
