F91 leg A  jd=2461233.5  reference=Earth  expect=post  locale=en
body                RA_old      RA_new      DE_old      DE_new    sep_prt      dSA"     dGHA"     dLHA"     dLPA"
Adrastea        124.925000  124.925000   20.028889   20.028889   0.000000      0.00      0.00      0.00      0.00
Amalthea        124.937500  124.937500   20.026667   20.026667   0.000000      0.00      0.00      0.00      0.00
Ananke          125.095833  125.095833   19.165278   19.165278   0.000000      0.00      0.00      0.00      0.00
Ariel            62.275000   62.275000   20.832500   20.832500   0.000001      0.00      0.00      0.00      0.00
Arrokoth         26.466667   26.466667    9.021667    9.021667   0.000000      0.00      0.00      0.00      0.00
Belinda          62.283333   62.283333   20.834722   20.834722   0.000001      0.00      0.00      0.00      0.00
Caliban          62.366667   62.366667   20.801944   20.801944   0.000000      0.00      0.00      0.00      0.00
Callisto        124.995833  124.995833   20.010000   20.010000   0.000001      0.00      0.00      0.00      0.00
Carme           124.529167  124.529167   20.009722   20.009722   0.000000      0.00      0.00      0.00      0.00
Ceres            78.075000   78.075000   21.146667   21.146667   0.000000      0.00      0.00      0.00      0.00
Charon          308.075000  308.075000  -23.223056  -23.223056   0.000000      0.00      0.00      0.00      0.00
Daphnis          14.350000   14.350000    3.492778    3.492778   0.000001      0.00      0.00      0.00      0.00
Deimos           67.666667   67.666667   21.679444   21.679444   0.000000      0.00      0.00      0.00      0.00
Despina           4.591667    4.591667    0.488333    0.488333   0.000000      0.00      0.00      0.00      0.00
Dione            14.333333   14.333333    3.494722    3.494722   0.000001      0.00      0.00      0.00      0.00
Earth           115.275000  115.275000  -43.300000  -43.300000   0.000001      0.00      0.00      0.00      0.00
Elara           124.158333  124.158333   19.813333   19.813333   0.000000      0.00      0.00      0.00      0.00
Enceladus        14.341667   14.341667    3.495278    3.495278   0.000001      0.00      0.00      0.00      0.00
Epimetheus       14.350000   14.350000    3.494444    3.494444   0.000001      0.00      0.00      0.00      0.00
Eris             27.820833   27.295833    0.280833   -0.797222   1.199089   1886.00   1887.00   1887.00   1887.00
Europa          124.937500  124.937500   20.026111   20.026111   0.000001      0.00      0.00      0.00      0.00
Galatea           4.591667    4.591667    0.488611    0.488611   0.000000      0.00      0.00      0.00      0.00
Ganymede        124.958333  124.958333   20.019722   20.019722   0.000000      0.00      0.00      0.00      0.00
Goldilocks_Zone  111.312500  111.312500   21.988889   21.988889   0.000000      0.00      0.00      0.00      0.00
Halimede          4.491667    4.491667    0.581944    0.581944   0.000001      0.00      0.00      0.00      0.00
Haumea          216.258333  216.258333   15.597500   15.597500   0.000000      0.00      0.00      0.00      0.00
Helene           14.362500   14.362500    3.492500    3.492500   0.000001      0.00      0.00      0.00      0.00
Hiiaka          216.258333  216.258333   15.597778   15.597778   0.000000      0.00      0.00      0.00      0.00
Himalia         124.495833  124.495833   20.222778   20.222778   0.000000      0.00      0.00      0.00      0.00
Hydra_          308.075000  308.075000  -23.223333  -23.223333   0.000000      0.00      0.00      0.00      0.00
Hyperion         14.358333   14.358333    3.501667    3.501667   0.000000      0.00      0.00      0.00      0.00
Iapetus          14.212500   14.212500    3.474722    3.474722   0.000001      0.00      0.00      0.00      0.00
Io              124.945833  124.945833   20.023889   20.023889   0.000001      0.00      0.00      0.00      0.00
Janus            14.341667   14.341667    3.493889    3.493889   0.000000      0.00      0.00      0.00      0.00
Juliet           62.279167   62.279167   20.834722   20.834722   0.000001      0.00      0.00      0.00      0.00
Juno            214.641667  214.641667   -0.433611   -0.433611   0.000000      0.00      0.00      0.00      0.00
Jupiter         124.933333  124.933333   20.027222   20.027222   0.000001      0.00      0.00      0.00      0.00
Kerberos        308.075000  308.075000  -23.223056  -23.223056   0.000000      0.00      0.00      0.00      0.00
Laomedeia         4.691667    4.691667    0.326111    0.326111   0.000001      0.00      0.00      0.00      0.00
Larissa           4.591667    4.591667    0.488889    0.488889   0.000000      0.00      0.00      0.00      0.00
